tree_name seqs_in group_in euk_in seqs_out group_out euk_out other_out total_seqs
COG0711 13 9 4 396 8 31 357 409
COG0098 36 17 19 594 0 125 469 630
COG0820 28 15 13 474 2 85 387 502
COG1009 15 14 1 347 3 63 281 362
COG0486 31 15 16 500 2 129 369 531
COG0479 10 10 0 430 5 133 292 440
COG2941 0 0 0 70 0 0 70 70
COG0292 25 16 9 559 0 95 464 584
COG0016 22 15 7 606 1 137 468 628
COG0199 22 14 8 471 3 43 425 493
COG3346 0 0 0 72 0 0 72 72
COG1220 0 0 0 263 0 0 263 263
COG0051 35 16 19 580 1 121 458 615
COG0056 30 16 14 499 0 131 368 529
COG0843 15 15 0 259 0 59 200 274
COG0074 6 6 0 471 2 143 326 477
COG0103 24 16 8 602 1 134 467 626
COG1138 0 0 0 169 0 0 169 169
COG0635 48 15 33 489 2 101 386 537
COG0099 20 15 5 602 2 134 466 622
COG1217 18 17 1 482 0 144 338 500
COG0143 32 14 18 590 3 127 460 622
COG1008 21 15 6 323 1 52 270 344
COG0508 44 15 29 406 2 111 293 450
COG0050 29 16 13 508 0 132 376 537
COG0167 10 9 1 564 8 139 417 574
COG1894 2 2 0 524 5 135 384 526
COG0805 35 15 20 343 2 13 328 378
COG0048 6 6 0 605 11 140 454 611
COG0257 5 2 3 417 7 49 361 422
COG0202 32 17 15 490 0 20 470 522
COG1104 12 12 0 565 5 145 415 577
COG0533 17 16 1 602 0 142 460 619
COG1143 19 15 4 375 1 114 260 394
COG0443 16 15 1 605 1 144 460 621
COG1034 14 7 7 376 7 39 330 390
COG0094 24 15 9 601 2 131 468 625
COG1960 5 5 0 484 8 139 337 489
COG1593 0 0 0 156 0 0 156 156
COG0093 24 15 9 601 2 130 469 625
COG1845 15 15 0 240 0 46 194 255
COG0304 9 9 0 565 7 142 416 574
COG0356 28 15 13 397 2 30 365 425
COG1005 20 15 5 373 2 42 329 393
COG0086 33 17 16 576 0 129 447 609
COG0081 34 15 19 563 2 110 451 597
COG0839 21 15 6 278 1 12 265 299
COG0542 42 16 26 568 0 110 458 610
COG1905 3 3 0 507 7 129 371 510
COG0211 2 2 0 583 14 112 457 585
COG0216 44 12 32 571 5 105 461 615
COG0532 34 15 19 587 2 126 459 621
COG0567 0 0 0 167 0 0 167 167
COG0445 35 17 18 470 0 97 373 505
COG0049 23 16 7 594 1 136 457 617
COG0080 39 17 22 554 0 94 460 593
COG0087 35 17 18 580 0 118 462 615
COG0838 17 14 3 299 1 26 272 316
COG1249 23 2 21 543 15 124 404 566
COG0092 27 15 12 584 2 116 466 611
COG0275 15 15 0 576 2 109 465 591
COG2609 0 0 0 112 0 0 112 112
COG2938 0 0 0 77 0 0 77 77
COG0522 22 14 8 602 3 130 469 624
COG0206 43 17 26 458 0 31 427 501
COG1025 0 0 0 22 0 0 22 22
COG0254 32 14 18 461 3 5 453 493
COG0201 33 15 18 509 0 41 468 542
COG1290 14 12 2 242 4 47 191 256
COG0541 44 16 28 505 1 117 387 549
COG1612 15 15 0 232 0 68 164 247
COG0085 30 17 13 573 0 132 441 603
COG0355 9 5 4 493 11 112 370 502
COG5405 0 0 0 266 0 0 266 266
COG1053 4 4 0 216 1 141 74 220
COG0277 5 5 0 507 12 136 359 512
COG0097 16 14 2 599 2 133 464 615
COG3175 0 0 0 66 0 0 66 66
COG0090 22 15 7 606 2 137 467 628
COG1622 12 12 0 250 3 53 194 262
COG0377 20 16 4 384 0 109 275 404
COG1076 0 0 0 113 2 15 96 113
COG0576 16 1 15 600 16 124 460 616
COG0197 7 7 0 544 9 73 462 551
COG2009 3 2 1 208 0 10 198 211
COG4799 2 1 1 399 1 142 256 401
COG1485 0 0 0 65 0 0 65 65
COG0185 20 12 8 601 5 133 463 621
COG1007 20 16 4 322 1 51 270 342
COG0552 106 2 104 443 15 41 387 549
COG0354 12 8 4 296 7 139 150 308
COG0224 52 17 35 468 0 96 372 520
COG0091 30 15 15 590 2 121 467 620
COG0096 23 15 8 595 2 126 467 618
COG2867 4 3 1 223 11 44 168 227
COG2142 0 0 0 130 1 9 120 130
COG0712 4 4 0 486 13 122 351 490
COG0114 3 3 0 333 5 139 189 336
COG0064 39 15 24 506 2 82 422 545
COG0740 45 15 30 516 1 64 451 561
COG0723 47 15 32 311 1 104 206 358
COG0052 26 17 9 591 0 134 457 617
COG0055 23 15 8 507 0 137 370 530
COG0459 44 16 28 564 1 117 446 608
COG0484 39 5 34 560 12 111 437 599
COG0636 25 16 9 387 0 104 283 412
COG0663 13 13 0 359 2 111 246 372
COG0030 15 15 0 590 1 142 447 605
COG0037 23 15 8 571 2 135 434 594
COG1562 51 15 36 246 0 76 170 297
COG0713 19 16 3 294 1 16 277 313
COG0022 32 15 17 399 2 124 273 431
COG0088 35 15 20 580 2 114 464 615
COG0100 11 8 3 612 9 138 465 623
COG2857 0 0 0 77 0 0 77 77
