tree_name	seqs_in	group_in	euk_in	seqs_out	group_out	euk_out	other_out	total_seqs
COG0711	34	28	6	382	19	36	327	416
COG0098	44	40	4	586	13	140	433	630
COG0820	61	32	29	441	10	69	362	502
COG1009	21	19	2	340	32	61	247	361
COG0486	139	46	93	392	1	52	339	531
COG0479	116	4	112	325	45	22	258	441
COG2941	51	33	18	110	3	73	34	161
COG0292	112	21	91	474	32	15	427	586
COG0016	57	54	3	571	0	141	430	628
COG0199	44	41	3	451	13	50	388	495
COG3346	159	35	124	37	4	0	33	196
COG1220	142	41	101	266	0	44	222	408
COG0051	22	19	3	593	32	137	424	615
COG0056	146	51	95	383	3	50	330	529
COG0843	87	39	48	186	4	10	172	273
COG0074	145	12	133	332	37	10	285	477
COG0103	28	27	1	598	28	141	429	626
COG1138	36	31	5	157	11	19	127	193
COG0635	16	15	1	512	32	124	356	528
COG0099	41	37	4	582	17	136	429	623
COG1217	35	31	4	465	17	141	307	500
COG0143	27	26	1	595	29	144	422	622
COG1008	74	46	28	269	6	29	234	343
COG0508	164	44	120	286	7	20	259	450
COG0050	115	1	114	422	38	31	353	537
COG0167	54	26	28	520	16	112	392	574
COG1894	184	51	133	341	1	1	339	525
COG0805	46	43	3	333	4	31	298	379
COG0048	14	12	2	598	40	139	419	612
COG0257	11	11	0	407	36	48	323	418
COG0202	44	40	4	479	15	32	432	523
COG1104	136	4	132	441	46	13	382	577
COG0533	156	54	102	463	1	41	421	619
COG1143	52	17	35	341	30	82	229	393
COG0443	160	32	128	461	21	17	423	621
COG1034	54	3	51	447	48	65	334	501
COG0094	44	41	3	582	12	138	432	626
COG1960	8	7	1	481	35	138	308	489
COG1593	15	11	4	160	13	15	132	175
COG0093	33	29	4	591	26	134	431	624
COG1845	78	41	37	178	2	10	166	256
COG0304	35	32	3	539	22	139	378	574
COG0356	93	53	40	341	0	12	329	434
COG1005	18	17	1	375	32	46	297	393
COG0086	55	50	5	554	1	140	413	609
COG0081	45	38	7	566	14	136	416	611
COG0839	63	48	15	236	1	3	232	299
COG0542	41	39	2	578	12	143	423	619
COG1905	173	49	124	336	3	4	329	509
COG0211	28	15	13	558	40	100	418	586
COG0216	43	40	3	571	14	133	424	614
COG0532	161	51	110	460	1	35	424	621
COG0567	130	1	129	175	44	9	122	305
COG0445	136	47	89	371	0	28	343	507
COG0049	33	30	3	584	22	140	422	617
COG0080	39	36	3	551	17	110	424	590
COG0087	123	1	122	495	50	17	428	618
COG0838	39	36	3	278	14	27	237	317
COG1249	61	27	34	505	25	111	369	566
COG0092	22	15	7	597	39	129	429	619
COG0275	41	38	3	550	16	106	428	591
COG2609	27	20	7	226	3	134	89	253
COG2938	11	10	1	204	36	137	31	215
COG0522	60	54	6	566	0	134	432	626
COG0206	81	49	32	420	0	25	395	501
COG1025	0	0	0	22	0	0	22	22
COG0254	68	54	14	434	0	18	416	502
COG0201	58	55	3	477	0	49	428	535
COG1290	21	19	2	239	25	52	162	260
COG0541	60	54	6	489	0	139	350	549
COG1612	12	9	3	293	29	123	141	305
COG0085	52	46	6	551	3	139	409	603
COG0355	156	40	116	360	13	14	333	516
COG5405	81	2	79	305	39	41	225	386
COG1053	4	4	0	220	11	145	64	224
COG0277	45	1	44	468	37	93	338	513
COG0097	36	33	3	581	18	134	429	617
COG3175	157	39	118	28	2	1	25	185
COG0090	56	51	5	572	3	139	430	628
COG1622	89	39	50	177	4	7	166	266
COG0377	95	2	93	309	48	20	241	404
COG1076	24	22	2	218	14	142	62	242
COG0576	135	11	124	481	43	15	423	616
COG0197	57	52	5	493	2	67	424	550
COG2009	10	9	1	283	36	92	155	293
COG4799	11	11	0	391	27	144	220	402
COG1485	157	31	126	41	7	7	27	198
COG0185	8	7	1	613	47	140	426	621
COG1007	68	44	24	275	6	32	237	343
COG0552	50	49	1	499	4	144	351	549
COG0354	79	1	78	227	48	63	116	306
COG0224	46	44	2	474	10	129	335	520
COG0091	143	52	91	485	3	53	429	628
COG0096	41	36	5	580	17	132	431	621
COG2867	19	4	15	265	41	91	133	284
COG2142	36	20	16	107	24	6	77	143
COG0712	6	6	0	487	47	125	315	493
COG0114	12	8	4	324	35	135	154	336
COG0064	130	53	77	414	0	28	386	544
COG0740	46	41	5	519	10	93	416	565
COG0723	34	29	5	326	16	133	177	360
COG0052	60	53	7	557	0	136	421	617
COG0055	180	50	130	350	3	15	332	530
COG0459	187	51	136	421	1	9	411	608
COG0484	43	42	1	556	6	144	406	599
COG0636	48	1	47	312	3	14	295	360
COG0663	20	13	7	385	29	137	219	405
COG0030	46	44	2	558	6	139	413	604
COG0037	101	44	57	492	8	85	399	593
COG1562	7	7	0	308	30	130	148	315
COG0713	36	35	1	282	16	23	243	318
COG0022	170	47	123	261	2	18	241	431
COG0088	96	51	45	522	3	92	427	618
COG0100	10	9	1	615	45	142	428	625
COG2857	177	44	133	37	0	4	33	214
